Exit code = 1 | Catchall for general errors | Mon Oct 18 12:14:29 AM MSK 2021 | Package cache has cleaned.
Exit code = 0 | Success | Mon Oct 18 12:53:36 AM MSK 2021 | Package cache has cleaned.
Exit code = 0 | Success | Mon Oct 25 08:13:02 AM MSK 2021 | Package cache has cleaned.
Exit code = 0 | Success | Mon Nov  1 06:20:39 AM MSK 2021 | Package cache has cleaned.
Exit code = 0 | Success | Mon Nov 29 03:00:59 AM CET 2021 | Package cache has cleaned.
Exit code = 0 | Success | Mon Dec  6 07:08:54 AM CET 2021 | Package cache has cleaned.
Exit code = 1 | Catchall for general errors | Mon Dec 13 08:08:46 AM CET 2021 | Package cache has cleaned.
Exit code = 0 | Success | Mon Dec 13 08:37:52 AM CET 2021 | Package cache has cleaned.
Success | Tue Dec 14 02:46:59 PM CET 2021 | Exit code = 0 | Package cache has cleaned.
Success | Tue Dec 21 08:29:18 AM CET 2021 | Exit code = 0 | Package cache has cleaned.
